time,seconds_elapsed,rotationRateX,rotationRateY,rotationRateZ,gravityX,gravityY,gravityZ,accelerationX,accelerationY,accelerationZ,quaternionW,quaternionX,quaternionY,quaternionZ,pitch,roll,yaw
1771620341547214336,0.3822143077850342,-0.6930657029151917,-0.10472247749567032,-0.7530551552772522,-0.7193153500556946,0.004215486813336611,-0.6946707963943481,-0.060668110847473145,-0.005481953267008066,-0.05384904146194458,0.33724315096814356,0.3627113248540729,-0.14527588675449918,0.8565058961795724,-0.004215499469853168,-0.8028255288741165,2.3896017602211246
1771620341557245184,0.3922452926635742,-0.7679556608200073,-0.08986949175596237,-0.7053321003913879,-0.7200304865837097,0.004043808672577143,-0.6939306855201721,-0.05061459541320801,-0.00634790537878871,-0.042595863342285156,0.341622912552686,0.36242452889834004,-0.1472519144909023,0.854552064376867,-0.00404381975879094,-0.8038547392168188,2.379260420078249
1771620341567275264,0.40227532386779785,-0.8507852554321289,-0.07254869490861893,-0.670133650302887,-0.7206301093101501,0.004682241473346949,-0.6933038830757141,-0.048458635807037354,-0.028348634019494057,-0.04892933368682861,0.3459706003827132,0.36189711959820414,-0.149594524391988,0.8526173339643541,-0.0046822587457953655,-0.8047221354357419,2.3686506130222513
1771620341577306368,0.4123063087463379,-0.954655647277832,-0.039115775376558304,-0.6473814845085144,-0.7210536599159241,0.006213912274688482,-0.6928513646125793,-0.04911845922470093,-0.04573420062661171,-0.05705702304840088,0.3503782047866702,0.361053860878265,-0.15236276844442226,0.8506826241211695,-0.006213952135709186,-0.8053418971324352,2.3575366062570615
1771620341587337216,0.42233729362487793,-1.0145126581192017,-0.00291435862891376,-0.6508965492248535,-0.7212510704994202,0.008420702069997787,-0.6926225423812866,-0.041902005672454834,-0.05204557627439499,-0.04973280429840088,0.3549028500110611,0.35989372631214334,-0.15545167863015533,0.8487374418090459,-0.008420801271733763,-0.8056436607714154,2.3458890185147294
1771620341597367296,0.43236732482910156,-1.0366628170013428,0.015956534072756767,-0.6713643074035645,-0.7212678790092468,0.010779284872114658,-0.692572295665741,-0.0297696590423584,-0.07405745983123779,-0.03859835863113403,0.3595734324764803,0.35854354919045267,-0.15862022733780548,0.8467544094278477,-0.010779493253150281,-0.8056915946439662,2.3338522125815686
1771620341607398144,0.4423983097076416,-1.0983432531356812,0.03546125814318657,-0.7094075679779053,-0.7211468815803528,0.013196825049817562,-0.6926564574241638,-0.023298919200897217,-0.09705912321805954,-0.02786356210708618,0.36442114296705086,0.3570403966301473,-0.16184535977947534,0.8447043644854347,-0.013197207785599315,-0.8055470611784202,2.321380414436123
1771620341617429248,0.45242929458618164,-1.2240710258483887,0.08203595131635666,-0.7763711214065552,-0.7208648920059204,0.015861276537179947,-0.6928941607475281,-0.02631223201751709,-0.14879585802555084,-0.0236586332321167,0.3696665832444953,0.3552849951153812,-0.16530427267888442,0.8424926106532331,-0.015861941176867286,-0.805180254038157,2.307873852352594
1771620341627460352,0.4624602794647217,-1.4073675870895386,0.14382953941822052,-0.8606002330780029,-0.7202392220497131,0.01909617707133293,-0.6934629082679749,-0.02454221248626709,-0.19179515540599823,0.009228289127349854,0.37553257850270855,0.35304905352359145,-0.16918900878231607,0.8400634958749854,-0.0190973383525172,-0.8043364687948243,2.2927086725026493
1771620341637490176,0.4724903106689453,-1.618484616279602,0.19344089925289154,-0.9704447388648987,-0.7192561626434326,0.0230247899889946,-0.6943634152412415,-0.007443666458129883,-0.2116081863641739,0.038021862506866455,0.38218751349032326,0.35025064215598856,-0.17361678915308565,0.8373257986445792,-0.023026824106095623,-0.8030055646917501,2.2754258648149195
