time,seconds_elapsed,rotationRateX,rotationRateY,rotationRateZ,gravityX,gravityY,gravityZ,accelerationX,accelerationY,accelerationZ,quaternionW,quaternionX,quaternionY,quaternionZ,pitch,roll,yaw
1771888714086420480,1.3974206447601318,-0.13859613239765167,0.8879963755607605,-0.4714817404747009,-0.8381791710853577,0.329681396484375,0.4344720244407654,-0.005631864070892334,0.00408935546875,0.035666465759277344,0.516642659478787,-0.4877438415385662,-0.6923452578101107,-0.12587445691890622,-0.33596607152335056,-2.0490176757559437,-1.0219660957637424
1771888714096451584,1.4074516296386719,-0.024202706292271614,0.8235477805137634,-0.48961496353149414,-0.8434900641441345,0.325238972902298,0.42748555541038513,0.008376657962799072,0.09211942553520203,-0.054103076457977295,0.5191167081121364,-0.4857247368528291,-0.6912410989902892,-0.1295182620878828,-0.3312644171812288,-2.0398736478422097,-1.0203952150283147
1771888714106482688,1.417482852935791,0.0819450318813324,0.799452543258667,-0.5038964152336121,-0.8485395908355713,0.32112249732017517,0.4205486476421356,0.005445599555969238,0.06695428490638733,-0.07855337858200073,0.5216504117129521,-0.483399113160937,-0.6903619514148437,-0.13268996339694564,-0.3269145124543039,-2.030929495511043,-1.0177802818763233
1771888714116513792,1.427513837814331,0.08606556802988052,0.8171958923339844,-0.5191536545753479,-0.8536092042922974,0.31707048416137695,0.4133009612560272,-0.010068833827972412,0.03159284591674805,-0.001634061336517334,0.5243440555280264,-0.48079784769287,-0.6895534092555283,-0.13569398621103546,-0.32263898995793605,-2.0217084441421465,-1.0144471182017105
1771888714126544640,1.437544822692871,0.009854951873421669,0.8494997620582581,-0.510557234287262,-0.8586756587028503,0.31277966499328613,0.4060117304325104,-0.016263484954833984,0.07660943269729614,0.10108372569084167,0.5269670896724574,-0.4783183598723789,-0.688634449167827,-0.1389245028445943,-0.3181181343030454,-2.012476553673541,-1.011679966408822
1771888714136575744,1.4475758075714111,-0.06986401975154877,0.866724967956543,-0.49405258893966675,-0.8637503385543823,0.3082636296749115,0.39863383769989014,-0.018589138984680176,0.010736584663391113,0.10986530780792236,0.5295162863313609,-0.47605397418439344,-0.6875242036284789,-0.14246264547852894,-0.3133672343201926,-2.0031848506020955,-1.0097586789886575
1771888714146606592,1.4576067924499512,-0.06309346854686737,0.851102888584137,-0.46499723196029663,-0.8686777353286743,0.3037717640399933,0.39130786061286926,-0.020085692405700684,0.0011903941631317139,0.021656036376953125,0.5319885696109187,-0.4739413461422852,-0.6863188249831897,-0.14606257994135496,-0.3086490056294155,-1.9940358693369507,-1.0083096435438594
1771888714156637696,1.4676377773284912,-0.07476522028446198,0.8371943831443787,-0.4549046456813812,-0.8733759522438049,0.2994586229324341,0.3841077983379364,-0.03363692760467529,0.07328304648399353,0.028062522411346436,0.5343995585527629,-0.4718974803134321,-0.6851034027821963,-0.14954310120798278,-0.304125200235593,-1.9851328191854212,-1.0069697416744043
1771888714166668544,1.4776687622070312,-0.07475563138723373,0.8193197846412659,-0.4569140076637268,-0.877930760383606,0.2951187193393707,0.3770175874233246,-0.04263186454772949,0.07286223769187927,0.029125511646270752,0.5367260534694456,-0.4699044440136079,-0.6838849367437326,-0.15302369038142605,-0.29957977243429634,-1.9764207183833555,-1.005823039877432
1771888714176699648,1.4876997470855713,-0.0563347190618515,0.7914676070213318,-0.4580274522304535,-0.8823516368865967,0.29079148173332214,0.36999446153640747,-0.038851916790008545,0.08683300018310547,0.008698195219039917,0.5390207727602958,-0.46783385996995547,-0.6827361951546879,-0.15639486521121815,-0.2950539477431937,-1.9678526863194907,-1.0044770426050584
1771888714186730496,1.4977307319641113,-0.0310011338442564,0.7865122556686401,-0.456341415643692,-0.8865821361541748,0.28653401136398315,0.363139808177948,-0.021041154861450195,0.04731306433677673,-0.008052468299865723,0.5412407673284473,-0.46576614981703235,-0.6816390547776386,-0.15965139471201933,-0.29060718647086464,-1.9595469952825317,-1.0030989636835286
1771888714196761600,1.5077617168426514,-0.004189938772469759,0.7878117561340332,-0.477222740650177,-0.8908055424690247,0.2822403311729431,0.35609838366508484,-0.019884824752807617,0.008897334337234497,0.08231711387634277,0.5435302417583606,-0.4635633007241407,-0.6805573191582207,-0.16286726078253577,-0.28612858637199967,-1.9510860868385103,-1.0014474426163873
1771888714206792704,1.5177927017211914,0.03385518118739128,0.7702929973602295,-0.4527754485607147,-0.8948856592178345,0.2780848443508148,0.34906840324401855,-0.019634664058685303,0.08132067322731018,0.007086992263793945,0.5458405489352086,-0.4612690229310011,-0.6795329929196731,-0.16590352949482234,-0.28179971868070136,-1.942713504771821,-0.9994767161920626
1771888714216823552,1.5278236865997314,-0.031317248940467834,0.7560133337974548,-0.44096699357032776,-0.8987858891487122,0.2740408480167389,0.3421778380870819,-0.019213438034057617,0.02806791663169861,0.0505223274230957,0.5480746818254213,-0.45908237642565575,-0.678477921474954,-0.16889423554012414,-0.2775922151765429,-1.934564638510911,-0.9977522145069591
1771888714226854656,1.5378546714782715,-0.09488344192504883,0.7472787499427795,-0.4119952619075775,-0.9025168418884277,0.26997607946395874,0.3355237543582916,-0.00921100378036499,0.00021129846572875977,0.09301933646202087,0.5501378293573405,-0.4571471020298728,-0.6773318282059291,-0.17200709499358288,-0.2733681770483851,-1.9267274250794373,-0.9967618360946513
1771888714236885504,1.5478856563568115,-0.16735631227493286,0.7148131728172302,-0.374788761138916,-0.9060153961181641,0.2659323811531067,0.32926568388938904,-0.0018976926803588867,0.020993858575820923,0.08778747916221619,0.551949928902034,-0.4555837373292617,-0.6760741851701366,-0.17526660232315688,-0.26917099283853924,-1.9193777486595882,-0.996787451338622
1771888714246923776,1.5579237937927246,-0.10709110647439957,0.6510893106460571,-0.36077946424484253,-0.9092340469360352,0.2621394395828247,0.32338225841522217,0.009041965007781982,0.019553065299987793,0.009884923696517944,0.5536335160516811,-0.4541199917817185,-0.674882327513265,-0.17832194363769274,-0.2652385036489515,-1.9125084970217436,-0.996863115145146
1771888714256954624,1.5679547786712646,-0.012380312196910381,0.590828537940979,-0.36059439182281494,-0.9121800661087036,0.2586563527584076,0.31784307956695557,0.011545419692993164,0.08874046802520752,-0.019655853509902954,0.5552840426703721,-0.45249773656299574,-0.6739193885051972,-0.1809364661476796,-0.2616309672420188,-1.9060837186430335,-0.9961813582796337
1771888714266985728,1.5779857635498047,0.07523475587368011,0.5435312986373901,-0.3751451075077057,-0.9149530529975891,0.2553720474243164,0.31248313188552856,-0.008737564086914062,0.10745137929916382,-0.007505834102630615,0.5569727869543971,-0.45060464253224125,-0.6731990912110589,-0.18313824498877473,-0.2582324896761544,-1.8999048801275924,-0.9945276606839125
1771888714277016576,1.5880167484283447,0.036136265844106674,0.5200327634811401,-0.3654056489467621,-0.9175412058830261,0.252153605222702,0.30746814608573914,0.010299384593963623,0.07426241040229797,0.010631799697875977,0.5585492760209748,-0.4487057369773729,-0.6726048148584364,-0.18517181856399248,-0.2549051406474088,-1.8941361370686955,-0.99273056967181
1771888714287047680,1.5980477333068848,-0.061096541583538055,0.5080693364143372,-0.32608169317245483,-0.9199962019920349,0.24890512228012085,0.3027425706386566,0.004331648349761963,0.004589155316352844,0.06227812170982361,0.5599270224738598,-0.44711670493398187,-0.6719061930413648,-0.18737759463424591,-0.2515496307047262,-1.8887044168070755,-0.9918129232212225
1771888714297078528,1.6080787181854248,-0.12269492447376251,0.5120229125022888,-0.2915652394294739,-0.922335684299469,0.24571597576141357,0.29819491505622864,0.01341557502746582,-0.022403597831726074,0.08834069967269897,0.5611656183199919,-0.4458183648760426,-0.6710763284852296,-0.18972499497983342,-0.24825823869202862,-1.8834935715599832,-0.9916861460957018
1771888714307109632,1.6181097030639648,-0.15308798849582672,0.49128565192222595,-0.25897109508514404,-0.9244945645332336,0.2427157461643219,0.2939368486404419,0.008707821369171143,0.018789350986480713,0.008492350578308105,0.5622432265146586,-0.44484535554709564,-0.6701350894582487,-0.1921305414490814,-0.24516432656014533,-1.8786324991909191,-0.9923233234411519
1771888714317140480,1.6281406879425049,-0.155302494764328,0.4859212636947632,-0.2535656690597534,-0.9265495538711548,0.23990727961063385,0.28974229097366333,0.0002646446228027344,0.04027463495731354,0.04064098000526428,0.5633031859082922,-0.4439603007502902,-0.6691564864375775,-0.1944696302009965,-0.2422703352125102,-1.873873477142461,-0.9930823642058106
1771888714327171584,1.638171672821045,-0.09799472987651825,0.4416419565677643,-0.25908347964286804,-0.9285194873809814,0.2371343970298767,0.2856905460357666,0.017096638679504395,0.09771975874900818,0.016845494508743286,0.5643361398884342,-0.4429963159336714,-0.6682810350569224,-0.1966712034889227,-0.23941503901308345,-1.8692876264375384,-0.9935543445776567
1771888714337202432,1.648202657699585,-0.03885417431592941,0.40276673436164856,-0.25430601835250854,-0.9303333163261414,0.23453623056411743,0.28190869092941284,0.03438311815261841,0.10320180654525757,0.016553252935409546,0.565354383021953,-0.44187817991757616,-0.6676061869194393,-0.19854467521361574,-0.23674145798316718,-1.865020570027892,-0.9933653613718276
1771888714347233536,1.658233642578125,0.0462639145553112,0.37471938133239746,-0.25027212500572205,-0.9320039749145508,0.2321982979774475,0.2783033549785614,0.03501594066619873,0.038629963994026184,0.0022294819355010986,0.5663921058933231,-0.44066808626769066,-0.6670557093538478,-0.20012088616096588,-0.23433713780332857,-1.8609751025643946,-0.9926623006679735
1771888714357264640,1.668264627456665,-0.020560655742883682,0.3123871684074402,-0.23884451389312744,-0.9335786700248718,0.22991688549518585,0.274898499250412,0.035751521587371826,0.046358779072761536,0.013019561767578125,0.5673964857507858,-0.43937667689781434,-0.6666313755734236,-0.20152418267850547,-0.2319922724673289,-1.85715981927922,-0.9916194535283419
1771888714367295744,1.6782958507537842,-0.022398503497242928,0.3383423388004303,-0.21057826280593872,-0.9349509477615356,0.2277897745370865,0.27199018001556396,0.034712910652160645,0.07218271493911743,0.045377373695373535,0.5681842372604564,-0.43836700493320085,-0.6662052638794407,-0.20290793243030134,-0.22980718246100498,-1.8538964903806834,-0.9911536967184017
1771888714377326848,1.6883268356323242,-0.1563383787870407,0.39773401618003845,-0.17072086036205292,-0.9363716840744019,0.22580981254577637,0.2687344253063202,0.0002143383026123047,-0.017985090613365173,0.1465945541858673,0.5690173866183704,-0.4376666015291312,-0.66544358377469,-0.20457782057375634,-0.22777424261703358,-1.8502800749704251,-0.991627594371645
1771888714387357696,1.6983578205108643,-0.13339763879776,0.429145485162735,-0.1418071836233139,-0.9378368854522705,0.22393536567687988,0.2651701867580414,-0.011107325553894043,-0.007489413022994995,0.08512583374977112,0.5699082881087861,-0.43715473651075853,-0.6644402358959887,-0.20644509008874068,-0.22585052319186472,-1.8463501195783705,-0.9927014093580555
