epoc (ms),timestamp (-0400),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1774670485120,2026-03-28T00.01.25.120,0.000,-0.366,2.988,-0.183
1774670485131,2026-03-28T00.01.25.131,0.011,-0.549,3.476,-0.183
1774670485141,2026-03-28T00.01.25.141,0.021,-0.305,2.744,-1.159
1774670485151,2026-03-28T00.01.25.151,0.031,-0.427,2.988,-0.854
1774670485160,2026-03-28T00.01.25.160,0.040,-0.427,2.744,-0.793
1774670485170,2026-03-28T00.01.25.170,0.050,-0.366,2.256,-0.732
1774670485180,2026-03-28T00.01.25.180,0.060,-0.305,1.768,-0.671
1774670485191,2026-03-28T00.01.25.191,0.071,-0.366,1.524,-0.610
1774670485199,2026-03-28T00.01.25.199,0.079,-0.488,1.524,-0.488
1774670485210,2026-03-28T00.01.25.210,0.090,-0.488,1.585,-0.366
1774670485220,2026-03-28T00.01.25.220,0.100,-0.488,1.646,-0.366
1774670485230,2026-03-28T00.01.25.230,0.110,-0.427,1.585,-0.427
1774670485239,2026-03-28T00.01.25.239,0.119,-0.488,1.585,-0.488
1774670485249,2026-03-28T00.01.25.249,0.129,-0.488,1.707,-0.549
1774670485259,2026-03-28T00.01.25.259,0.139,-0.488,1.768,-0.549
1774670485270,2026-03-28T00.01.25.270,0.150,-0.549,1.707,-0.549
1774670485279,2026-03-28T00.01.25.279,0.159,-0.488,1.829,-0.671
1774670485289,2026-03-28T00.01.25.289,0.169,-0.427,1.768,-0.671
1774670485299,2026-03-28T00.01.25.299,0.179,-0.366,1.768,-0.610
1774670485309,2026-03-28T00.01.25.309,0.189,-0.366,1.707,-0.610
1774670485318,2026-03-28T00.01.25.318,0.198,-0.244,1.646,-0.671
1774670485328,2026-03-28T00.01.25.328,0.208,-0.061,1.829,-0.976
1774670485339,2026-03-28T00.01.25.339,0.219,-0.061,2.073,-1.037
1774670485349,2026-03-28T00.01.25.349,0.229,-0.061,2.683,-1.037
1774670485358,2026-03-28T00.01.25.358,0.238,-0.122,3.415,-1.098
1774670485368,2026-03-28T00.01.25.368,0.248,-0.305,4.329,-1.098
1774670485378,2026-03-28T00.01.25.378,0.258,-0.610,5.305,-1.037
1774670485388,2026-03-28T00.01.25.388,0.268,-0.976,6.280,-0.915
1774670485397,2026-03-28T00.01.25.397,0.277,-1.280,6.829,-0.915
1774670485407,2026-03-28T00.01.25.407,0.287,-1.402,6.585,-1.098
1774670485418,2026-03-28T00.01.25.418,0.298,-1.280,5.305,-1.402
1774670485426,2026-03-28T00.01.25.426,0.306,-1.037,3.537,-1.341
1774670485437,2026-03-28T00.01.25.437,0.317,-0.793,1.890,-1.159
1774670485447,2026-03-28T00.01.25.447,0.327,-0.671,0.488,-0.915
1774670485457,2026-03-28T00.01.25.457,0.337,-0.549,-0.183,-0.671
1774670485467,2026-03-28T00.01.25.467,0.347,-0.244,-0.854,-0.488
1774670485476,2026-03-28T00.01.25.476,0.356,0.000,-1.463,-0.244
1774670485487,2026-03-28T00.01.25.487,0.367,0.061,-1.890,0.000
1774670485497,2026-03-28T00.01.25.497,0.377,-0.061,-2.012,0.183
1774670485506,2026-03-28T00.01.25.506,0.386,-0.061,-1.829,0.061
1774670485516,2026-03-28T00.01.25.516,0.396,-0.183,-1.280,-0.183
