epoc (ms),timestamp (-0400),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1774670585270,2026-03-28T00.03.05.270,0.000,0.412,-0.910,-0.132
1774670585278,2026-03-28T00.03.05.278,0.008,0.405,-0.917,-0.135
1774670585289,2026-03-28T00.03.05.289,0.019,0.392,-0.918,-0.138
1774670585299,2026-03-28T00.03.05.299,0.029,0.399,-0.917,-0.140
1774670585309,2026-03-28T00.03.05.309,0.039,0.415,-0.909,-0.142
1774670585318,2026-03-28T00.03.05.318,0.048,0.418,-0.904,-0.138
1774670585328,2026-03-28T00.03.05.328,0.058,0.417,-0.907,-0.138
1774670585338,2026-03-28T00.03.05.338,0.068,0.408,-0.914,-0.139
1774670585349,2026-03-28T00.03.05.349,0.079,0.404,-0.916,-0.138
1774670585357,2026-03-28T00.03.05.357,0.087,0.395,-0.919,-0.137
1774670585368,2026-03-28T00.03.05.368,0.098,0.394,-0.919,-0.142
1774670585378,2026-03-28T00.03.05.378,0.108,0.401,-0.916,-0.144
1774670585388,2026-03-28T00.03.05.388,0.118,0.408,-0.911,-0.141
1774670585397,2026-03-28T00.03.05.397,0.127,0.414,-0.909,-0.138
1774670585407,2026-03-28T00.03.05.407,0.137,0.412,-0.907,-0.132
1774670585418,2026-03-28T00.03.05.418,0.148,0.407,-0.911,-0.137
1774670585428,2026-03-28T00.03.05.428,0.158,0.406,-0.914,-0.137
1774670585437,2026-03-28T00.03.05.437,0.167,0.407,-0.916,-0.135
1774670585447,2026-03-28T00.03.05.447,0.177,0.409,-0.918,-0.136
1774670585457,2026-03-28T00.03.05.457,0.187,0.416,-0.915,-0.138
1774670585467,2026-03-28T00.03.05.467,0.197,0.410,-0.914,-0.130
1774670585476,2026-03-28T00.03.05.476,0.206,0.402,-0.916,-0.133
1774670585486,2026-03-28T00.03.05.486,0.216,0.398,-0.917,-0.133
1774670585497,2026-03-28T00.03.05.497,0.227,0.406,-0.912,-0.132
1774670585507,2026-03-28T00.03.05.507,0.237,0.414,-0.909,-0.134
1774670585516,2026-03-28T00.03.05.516,0.246,0.417,-0.904,-0.134
1774670585526,2026-03-28T00.03.05.526,0.256,0.413,-0.909,-0.133
1774670585536,2026-03-28T00.03.05.536,0.266,0.411,-0.915,-0.135
1774670585546,2026-03-28T00.03.05.546,0.276,0.406,-0.915,-0.139
1774670585555,2026-03-28T00.03.05.555,0.285,0.410,-0.915,-0.140
1774670585565,2026-03-28T00.03.05.565,0.295,0.412,-0.915,-0.136
1774670585576,2026-03-28T00.03.05.576,0.306,0.407,-0.921,-0.134
1774670585584,2026-03-28T00.03.05.584,0.314,0.400,-0.919,-0.137
1774670585595,2026-03-28T00.03.05.595,0.325,0.404,-0.917,-0.137
1774670585605,2026-03-28T00.03.05.605,0.335,0.409,-0.914,-0.136
1774670585615,2026-03-28T00.03.05.615,0.345,0.414,-0.909,-0.137
1774670585624,2026-03-28T00.03.05.624,0.354,0.416,-0.907,-0.136
1774670585634,2026-03-28T00.03.05.634,0.364,0.415,-0.908,-0.134
1774670585645,2026-03-28T00.03.05.645,0.375,0.409,-0.910,-0.134
1774670585655,2026-03-28T00.03.05.655,0.385,0.408,-0.912,-0.135
1774670585664,2026-03-28T00.03.05.664,0.394,0.404,-0.913,-0.132
1774670585674,2026-03-28T00.03.05.674,0.404,0.408,-0.915,-0.136
1774670585684,2026-03-28T00.03.05.684,0.414,0.413,-0.913,-0.136
1774670585694,2026-03-28T00.03.05.694,0.424,0.413,-0.909,-0.130
1774670585703,2026-03-28T00.03.05.703,0.433,0.410,-0.911,-0.131
1774670585713,2026-03-28T00.03.05.713,0.443,0.407,-0.914,-0.137
1774670585724,2026-03-28T00.03.05.724,0.454,0.414,-0.912,-0.140
1774670585734,2026-03-28T00.03.05.734,0.464,0.417,-0.909,-0.142
1774670585743,2026-03-28T00.03.05.743,0.473,0.406,-0.911,-0.138
1774670585753,2026-03-28T00.03.05.753,0.483,0.387,-0.919,-0.136
1774670585763,2026-03-28T00.03.05.763,0.493,0.378,-0.922,-0.141
1774670585773,2026-03-28T00.03.05.773,0.503,0.388,-0.919,-0.145
1774670585782,2026-03-28T00.03.05.782,0.512,0.412,-0.909,-0.133
1774670585793,2026-03-28T00.03.05.793,0.523,0.429,-0.907,-0.123
1774670585803,2026-03-28T00.03.05.803,0.533,0.431,-0.910,-0.125
1774670585813,2026-03-28T00.03.05.813,0.543,0.419,-0.915,-0.127
1774670585822,2026-03-28T00.03.05.822,0.552,0.403,-0.917,-0.128
1774670585832,2026-03-28T00.03.05.832,0.562,0.389,-0.923,-0.128
1774670585842,2026-03-28T00.03.05.842,0.572,0.392,-0.925,-0.132
1774670585853,2026-03-28T00.03.05.853,0.583,0.412,-0.917,-0.131
1774670585861,2026-03-28T00.03.05.861,0.591,0.419,-0.909,-0.128
1774670585872,2026-03-28T00.03.05.872,0.602,0.422,-0.908,-0.130
