epoc (ms),timestamp (-0400),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1774670585882,2026-03-28T00.03.05.882,0.612,0.413,-0.909,-0.129
1774670585892,2026-03-28T00.03.05.892,0.622,0.401,-0.912,-0.129
1774670585901,2026-03-28T00.03.05.901,0.631,0.404,-0.915,-0.132
1774670585911,2026-03-28T00.03.05.911,0.641,0.412,-0.914,-0.131
1774670585921,2026-03-28T00.03.05.921,0.651,0.420,-0.915,-0.136
1774670585932,2026-03-28T00.03.05.932,0.662,0.418,-0.914,-0.132
1774670585940,2026-03-28T00.03.05.940,0.670,0.412,-0.914,-0.131
1774670585951,2026-03-28T00.03.05.951,0.681,0.406,-0.917,-0.137
1774670585961,2026-03-28T00.03.05.961,0.691,0.409,-0.912,-0.142
1774670585971,2026-03-28T00.03.05.971,0.701,0.415,-0.910,-0.146
1774670585980,2026-03-28T00.03.05.980,0.710,0.422,-0.905,-0.145
1774670585990,2026-03-28T00.03.05.990,0.720,0.423,-0.904,-0.141
1774670586001,2026-03-28T00.03.06.001,0.731,0.412,-0.910,-0.139
1774670586011,2026-03-28T00.03.06.011,0.741,0.405,-0.917,-0.143
1774670586020,2026-03-28T00.03.06.020,0.750,0.408,-0.915,-0.146
1774670586030,2026-03-28T00.03.06.030,0.760,0.412,-0.913,-0.143
1774670586040,2026-03-28T00.03.06.040,0.770,0.408,-0.920,-0.143
1774670586050,2026-03-28T00.03.06.050,0.780,0.393,-0.920,-0.145
1774670586059,2026-03-28T00.03.06.059,0.789,0.400,-0.916,-0.141
1774670586069,2026-03-28T00.03.06.069,0.799,0.408,-0.910,-0.131
1774670586080,2026-03-28T00.03.06.080,0.810,0.411,-0.909,-0.129
1774670586088,2026-03-28T00.03.06.088,0.818,0.420,-0.909,-0.133
1774670586099,2026-03-28T00.03.06.099,0.829,0.427,-0.910,-0.135
1774670586109,2026-03-28T00.03.06.109,0.839,0.423,-0.904,-0.131
1774670586119,2026-03-28T00.03.06.119,0.849,0.421,-0.907,-0.125
1774670586128,2026-03-28T00.03.06.128,0.858,0.414,-0.912,-0.126
1774670586138,2026-03-28T00.03.06.138,0.868,0.404,-0.915,-0.128
1774670586148,2026-03-28T00.03.06.148,0.878,0.401,-0.914,-0.121
1774670586159,2026-03-28T00.03.06.159,0.889,0.403,-0.917,-0.123
1774670586168,2026-03-28T00.03.06.168,0.898,0.406,-0.922,-0.125
1774670586178,2026-03-28T00.03.06.178,0.908,0.408,-0.917,-0.126
1774670586188,2026-03-28T00.03.06.188,0.918,0.407,-0.915,-0.125
1774670586198,2026-03-28T00.03.06.198,0.928,0.404,-0.915,-0.131
1774670586207,2026-03-28T00.03.06.207,0.937,0.406,-0.914,-0.133
1774670586217,2026-03-28T00.03.06.217,0.947,0.409,-0.914,-0.127
1774670586228,2026-03-28T00.03.06.228,0.958,0.409,-0.914,-0.128
1774670586238,2026-03-28T00.03.06.238,0.968,0.403,-0.916,-0.132
1774670586247,2026-03-28T00.03.06.247,0.977,0.399,-0.916,-0.133
1774670586257,2026-03-28T00.03.06.257,0.987,0.396,-0.917,-0.134
1774670586267,2026-03-28T00.03.06.267,0.997,0.400,-0.918,-0.132
1774670586277,2026-03-28T00.03.06.277,1.007,0.416,-0.914,-0.133
1774670586286,2026-03-28T00.03.06.286,1.016,0.425,-0.911,-0.138
1774670586296,2026-03-28T00.03.06.296,1.026,0.421,-0.908,-0.138
1774670586307,2026-03-28T00.03.06.307,1.037,0.410,-0.909,-0.139
1774670586317,2026-03-28T00.03.06.317,1.047,0.404,-0.912,-0.140
1774670586326,2026-03-28T00.03.06.326,1.056,0.407,-0.906,-0.140
1774670586336,2026-03-28T00.03.06.336,1.066,0.418,-0.902,-0.139
1774670586346,2026-03-28T00.03.06.346,1.076,0.420,-0.908,-0.136
1774670586356,2026-03-28T00.03.06.356,1.086,0.418,-0.912,-0.138
1774670586365,2026-03-28T00.03.06.365,1.095,0.408,-0.913,-0.139
1774670586376,2026-03-28T00.03.06.376,1.106,0.405,-0.915,-0.140
1774670586386,2026-03-28T00.03.06.386,1.116,0.404,-0.914,-0.140
1774670586396,2026-03-28T00.03.06.396,1.126,0.410,-0.913,-0.139
1774670586405,2026-03-28T00.03.06.405,1.135,0.417,-0.910,-0.138
1774670586415,2026-03-28T00.03.06.415,1.145,0.412,-0.904,-0.134
1774670586425,2026-03-28T00.03.06.425,1.155,0.403,-0.908,-0.133
1774670586436,2026-03-28T00.03.06.436,1.166,0.400,-0.915,-0.139
1774670586444,2026-03-28T00.03.06.444,1.174,0.410,-0.914,-0.137
1774670586455,2026-03-28T00.03.06.455,1.185,0.420,-0.914,-0.132
1774670586465,2026-03-28T00.03.06.465,1.195,0.415,-0.919,-0.132
1774670586475,2026-03-28T00.03.06.475,1.205,0.408,-0.924,-0.135
1774670586484,2026-03-28T00.03.06.484,1.214,0.404,-0.924,-0.131
1774670586494,2026-03-28T00.03.06.494,1.224,0.411,-0.918,-0.128
1774670586504,2026-03-28T00.03.06.504,1.234,0.417,-0.913,-0.130
1774670586515,2026-03-28T00.03.06.515,1.245,0.417,-0.911,-0.131
1774670586523,2026-03-28T00.03.06.523,1.253,0.415,-0.912,-0.131
1774670586534,2026-03-28T00.03.06.534,1.264,0.410,-0.912,-0.133
1774670586544,2026-03-28T00.03.06.544,1.274,0.411,-0.907,-0.137
1774670586553,2026-03-28T00.03.06.553,1.283,0.422,-0.905,-0.137
1774670586563,2026-03-28T00.03.06.563,1.293,0.417,-0.910,-0.135
1774670586573,2026-03-28T00.03.06.573,1.303,0.404,-0.914,-0.133
1774670586584,2026-03-28T00.03.06.584,1.314,0.399,-0.916,-0.131
1774670586594,2026-03-28T00.03.06.594,1.324,0.404,-0.914,-0.132
1774670586603,2026-03-28T00.03.06.603,1.333,0.416,-0.915,-0.132
1774670586613,2026-03-28T00.03.06.613,1.343,0.420,-0.912,-0.134
1774670586623,2026-03-28T00.03.06.623,1.353,0.413,-0.915,-0.132
1774670586632,2026-03-28T00.03.06.632,1.362,0.407,-0.918,-0.128
1774670586642,2026-03-28T00.03.06.642,1.372,0.409,-0.918,-0.131
1774670586652,2026-03-28T00.03.06.652,1.382,0.407,-0.916,-0.134
1774670586663,2026-03-28T00.03.06.663,1.393,0.408,-0.913,-0.137
1774670586671,2026-03-28T00.03.06.671,1.401,0.412,-0.912,-0.138
1774670586682,2026-03-28T00.03.06.682,1.412,0.417,-0.907,-0.133
1774670586692,2026-03-28T00.03.06.692,1.422,0.417,-0.905,-0.133
1774670586702,2026-03-28T00.03.06.702,1.432,0.417,-0.905,-0.130
1774670586711,2026-03-28T00.03.06.711,1.441,0.417,-0.910,-0.133
1774670586721,2026-03-28T00.03.06.721,1.451,0.415,-0.911,-0.143
1774670586731,2026-03-28T00.03.06.731,1.461,0.413,-0.910,-0.140
1774670586742,2026-03-28T00.03.06.742,1.472,0.412,-0.911,-0.138
1774670586751,2026-03-28T00.03.06.751,1.481,0.412,-0.914,-0.134
1774670586761,2026-03-28T00.03.06.761,1.491,0.408,-0.913,-0.139
1774670586771,2026-03-28T00.03.06.771,1.501,0.400,-0.914,-0.146
1774670586781,2026-03-28T00.03.06.781,1.511,0.396,-0.912,-0.146
1774670586790,2026-03-28T00.03.06.790,1.520,0.402,-0.909,-0.142
1774670586800,2026-03-28T00.03.06.800,1.530,0.412,-0.909,-0.138
1774670586811,2026-03-28T00.03.06.811,1.541,0.412,-0.910,-0.140
1774670586821,2026-03-28T00.03.06.821,1.551,0.404,-0.912,-0.136
1774670586830,2026-03-28T00.03.06.830,1.560,0.396,-0.918,-0.133
1774670586840,2026-03-28T00.03.06.840,1.570,0.395,-0.923,-0.130
1774670586850,2026-03-28T00.03.06.850,1.580,0.407,-0.921,-0.129
1774670586860,2026-03-28T00.03.06.860,1.590,0.415,-0.915,-0.130
1774670586869,2026-03-28T00.03.06.869,1.599,0.417,-0.915,-0.130
1774670586879,2026-03-28T00.03.06.879,1.609,0.419,-0.913,-0.131
1774670586890,2026-03-28T00.03.06.890,1.620,0.414,-0.914,-0.128
1774670586900,2026-03-28T00.03.06.900,1.630,0.401,-0.915,-0.130
1774670586909,2026-03-28T00.03.06.909,1.639,0.399,-0.915,-0.131
1774670586919,2026-03-28T00.03.06.919,1.649,0.405,-0.915,-0.132
1774670586929,2026-03-28T00.03.06.929,1.659,0.411,-0.911,-0.129
1774670586939,2026-03-28T00.03.06.939,1.669,0.417,-0.912,-0.130
1774670586948,2026-03-28T00.03.06.948,1.678,0.416,-0.910,-0.128
1774670586959,2026-03-28T00.03.06.959,1.689,0.411,-0.912,-0.131
1774670586969,2026-03-28T00.03.06.969,1.699,0.407,-0.913,-0.132
1774670586979,2026-03-28T00.03.06.979,1.709,0.406,-0.914,-0.136
1774670586988,2026-03-28T00.03.06.988,1.718,0.406,-0.912,-0.138
1774670586998,2026-03-28T00.03.06.998,1.728,0.404,-0.911,-0.135
1774670587008,2026-03-28T00.03.07.008,1.738,0.409,-0.911,-0.133
1774670587019,2026-03-28T00.03.07.019,1.749,0.413,-0.910,-0.129
1774670587027,2026-03-28T00.03.07.027,1.757,0.410,-0.908,-0.134
1774670587038,2026-03-28T00.03.07.038,1.768,0.414,-0.910,-0.135
1774670587048,2026-03-28T00.03.07.048,1.778,0.414,-0.912,-0.137
1774670587057,2026-03-28T00.03.07.057,1.787,0.411,-0.912,-0.138
1774670587067,2026-03-28T00.03.07.067,1.797,0.405,-0.916,-0.139
1774670587077,2026-03-28T00.03.07.077,1.807,0.396,-0.916,-0.136
1774670587087,2026-03-28T00.03.07.087,1.817,0.391,-0.922,-0.136
1774670587096,2026-03-28T00.03.07.096,1.826,0.399,-0.920,-0.129
1774670587106,2026-03-28T00.03.07.106,1.836,0.421,-0.914,-0.132
1774670587117,2026-03-28T00.03.07.117,1.847,0.429,-0.910,-0.132
1774670587127,2026-03-28T00.03.07.127,1.857,0.422,-0.907,-0.135
1774670587136,2026-03-28T00.03.07.136,1.866,0.409,-0.910,-0.133
1774670587146,2026-03-28T00.03.07.146,1.876,0.398,-0.914,-0.131
1774670587156,2026-03-28T00.03.07.156,1.886,0.408,-0.911,-0.134
1774670587167,2026-03-28T00.03.07.167,1.897,0.411,-0.909,-0.134
1774670587175,2026-03-28T00.03.07.175,1.905,0.406,-0.913,-0.128
1774670587186,2026-03-28T00.03.07.186,1.916,0.400,-0.920,-0.131
1774670587196,2026-03-28T00.03.07.196,1.926,0.407,-0.921,-0.136
1774670587206,2026-03-28T00.03.07.206,1.936,0.416,-0.913,-0.134
1774670587215,2026-03-28T00.03.07.215,1.945,0.419,-0.912,-0.131
1774670587225,2026-03-28T00.03.07.225,1.955,0.416,-0.910,-0.132
1774670587235,2026-03-28T00.03.07.235,1.965,0.411,-0.912,-0.133
1774670587246,2026-03-28T00.03.07.246,1.976,0.403,-0.911,-0.135
1774670587256,2026-03-28T00.03.07.256,1.986,0.396,-0.915,-0.135
1774670587265,2026-03-28T00.03.07.265,1.995,0.401,-0.918,-0.132
1774670587275,2026-03-28T00.03.07.275,2.005,0.408,-0.917,-0.127
1774670587285,2026-03-28T00.03.07.285,2.015,0.407,-0.916,-0.127
1774670587294,2026-03-28T00.03.07.294,2.024,0.408,-0.916,-0.127
1774670587304,2026-03-28T00.03.07.304,2.034,0.410,-0.915,-0.126
1774670587314,2026-03-28T00.03.07.314,2.044,0.406,-0.918,-0.132
1774670587325,2026-03-28T00.03.07.325,2.055,0.394,-0.920,-0.129
1774670587334,2026-03-28T00.03.07.334,2.064,0.391,-0.923,-0.130
1774670587344,2026-03-28T00.03.07.344,2.074,0.401,-0.924,-0.134
1774670587354,2026-03-28T00.03.07.354,2.084,0.405,-0.919,-0.136
1774670587364,2026-03-28T00.03.07.364,2.094,0.414,-0.917,-0.134
1774670587373,2026-03-28T00.03.07.373,2.103,0.421,-0.918,-0.134
1774670587383,2026-03-28T00.03.07.383,2.113,0.415,-0.917,-0.135
1774670587394,2026-03-28T00.03.07.394,2.124,0.401,-0.914,-0.146
1774670587404,2026-03-28T00.03.07.404,2.134,0.411,-0.911,-0.139
1774670587413,2026-03-28T00.03.07.413,2.143,0.417,-0.910,-0.133
1774670587423,2026-03-28T00.03.07.423,2.153,0.405,-0.913,-0.134
1774670587433,2026-03-28T00.03.07.433,2.163,0.402,-0.913,-0.136
1774670587443,2026-03-28T00.03.07.443,2.173,0.405,-0.913,-0.135
1774670587452,2026-03-28T00.03.07.452,2.182,0.418,-0.910,-0.135
1774670587462,2026-03-28T00.03.07.462,2.192,0.418,-0.908,-0.130
1774670587473,2026-03-28T00.03.07.473,2.203,0.414,-0.913,-0.132
1774670587483,2026-03-28T00.03.07.483,2.213,0.404,-0.917,-0.132
1774670587492,2026-03-28T00.03.07.492,2.222,0.397,-0.920,-0.132
1774670587502,2026-03-28T00.03.07.502,2.232,0.395,-0.920,-0.134
1774670587512,2026-03-28T00.03.07.512,2.242,0.396,-0.922,-0.137
1774670587522,2026-03-28T00.03.07.522,2.252,0.400,-0.924,-0.136
1774670587531,2026-03-28T00.03.07.531,2.261,0.402,-0.919,-0.133
1774670587542,2026-03-28T00.03.07.542,2.272,0.405,-0.918,-0.128
1774670587552,2026-03-28T00.03.07.552,2.282,0.407,-0.920,-0.124
1774670587561,2026-03-28T00.03.07.561,2.291,0.404,-0.921,-0.125
1774670587571,2026-03-28T00.03.07.571,2.301,0.396,-0.923,-0.127
1774670587581,2026-03-28T00.03.07.581,2.311,0.390,-0.924,-0.125
1774670587591,2026-03-28T00.03.07.591,2.321,0.390,-0.927,-0.126
1774670587600,2026-03-28T00.03.07.600,2.330,0.390,-0.923,-0.126
1774670587610,2026-03-28T00.03.07.610,2.340,0.403,-0.918,-0.127
1774670587621,2026-03-28T00.03.07.621,2.351,0.409,-0.914,-0.126
1774670587631,2026-03-28T00.03.07.631,2.361,0.414,-0.911,-0.128
1774670587640,2026-03-28T00.03.07.640,2.370,0.407,-0.911,-0.129
1774670587650,2026-03-28T00.03.07.650,2.380,0.397,-0.915,-0.136
1774670587660,2026-03-28T00.03.07.660,2.390,0.399,-0.916,-0.138
1774670587670,2026-03-28T00.03.07.670,2.400,0.404,-0.914,-0.138
1774670587679,2026-03-28T00.03.07.679,2.409,0.413,-0.912,-0.140
1774670587689,2026-03-28T00.03.07.689,2.419,0.415,-0.913,-0.143
1774670587700,2026-03-28T00.03.07.700,2.430,0.413,-0.911,-0.144
1774670587710,2026-03-28T00.03.07.710,2.440,0.415,-0.910,-0.145
1774670587719,2026-03-28T00.03.07.719,2.449,0.408,-0.914,-0.145
1774670587729,2026-03-28T00.03.07.729,2.459,0.408,-0.915,-0.146
1774670587739,2026-03-28T00.03.07.739,2.469,0.410,-0.916,-0.143
1774670587750,2026-03-28T00.03.07.750,2.480,0.408,-0.917,-0.146
1774670587758,2026-03-28T00.03.07.758,2.488,0.415,-0.917,-0.147
1774670587769,2026-03-28T00.03.07.769,2.499,0.414,-0.918,-0.144
1774670587779,2026-03-28T00.03.07.779,2.509,0.414,-0.918,-0.140
1774670587789,2026-03-28T00.03.07.789,2.519,0.417,-0.918,-0.142
1774670587798,2026-03-28T00.03.07.798,2.528,0.410,-0.917,-0.141
1774670587808,2026-03-28T00.03.07.808,2.538,0.407,-0.917,-0.138
1774670587818,2026-03-28T00.03.07.818,2.548,0.408,-0.917,-0.136
1774670587829,2026-03-28T00.03.07.829,2.559,0.409,-0.914,-0.135
1774670587837,2026-03-28T00.03.07.837,2.567,0.412,-0.914,-0.135
1774670587848,2026-03-28T00.03.07.848,2.578,0.411,-0.913,-0.136
1774670587858,2026-03-28T00.03.07.858,2.588,0.409,-0.912,-0.136
1774670587868,2026-03-28T00.03.07.868,2.598,0.407,-0.913,-0.133
1774670587877,2026-03-28T00.03.07.877,2.607,0.404,-0.915,-0.132
1774670587887,2026-03-28T00.03.07.887,2.617,0.401,-0.915,-0.132
1774670587897,2026-03-28T00.03.07.897,2.627,0.395,-0.917,-0.134
1774670587908,2026-03-28T00.03.07.908,2.638,0.400,-0.918,-0.134
1774670587917,2026-03-28T00.03.07.917,2.647,0.401,-0.918,-0.134
1774670587927,2026-03-28T00.03.07.927,2.657,0.408,-0.917,-0.135
1774670587937,2026-03-28T00.03.07.937,2.667,0.417,-0.916,-0.133
1774670587947,2026-03-28T00.03.07.947,2.677,0.414,-0.916,-0.131
1774670587956,2026-03-28T00.03.07.956,2.686,0.411,-0.916,-0.127
1774670587966,2026-03-28T00.03.07.966,2.696,0.408,-0.915,-0.133
1774670587977,2026-03-28T00.03.07.977,2.707,0.406,-0.915,-0.132
1774670587987,2026-03-28T00.03.07.987,2.717,0.403,-0.916,-0.134
1774670587996,2026-03-28T00.03.07.996,2.726,0.410,-0.914,-0.131
1774670588006,2026-03-28T00.03.08.006,2.736,0.419,-0.911,-0.130
1774670588016,2026-03-28T00.03.08.016,2.746,0.419,-0.912,-0.132
1774670588026,2026-03-28T00.03.08.026,2.756,0.413,-0.912,-0.134
1774670588035,2026-03-28T00.03.08.035,2.765,0.403,-0.913,-0.132
1774670588045,2026-03-28T00.03.08.045,2.775,0.406,-0.915,-0.132
1774670588056,2026-03-28T00.03.08.056,2.786,0.408,-0.917,-0.133
1774670588066,2026-03-28T00.03.08.066,2.796,0.407,-0.917,-0.132
1774670588075,2026-03-28T00.03.08.075,2.805,0.407,-0.916,-0.135
1774670588085,2026-03-28T00.03.08.085,2.815,0.409,-0.912,-0.135
1774670588095,2026-03-28T00.03.08.095,2.825,0.411,-0.908,-0.133
1774670588104,2026-03-28T00.03.08.104,2.834,0.411,-0.907,-0.133
1774670588114,2026-03-28T00.03.08.114,2.844,0.412,-0.910,-0.136
1774670588125,2026-03-28T00.03.08.125,2.855,0.409,-0.915,-0.135
1774670588135,2026-03-28T00.03.08.135,2.865,0.405,-0.915,-0.132
1774670588144,2026-03-28T00.03.08.144,2.874,0.408,-0.917,-0.134
1774670588154,2026-03-28T00.03.08.154,2.884,0.409,-0.913,-0.139
1774670588164,2026-03-28T00.03.08.164,2.894,0.409,-0.911,-0.139
1774670588174,2026-03-28T00.03.08.174,2.904,0.410,-0.916,-0.138
1774670588183,2026-03-28T00.03.08.183,2.913,0.405,-0.914,-0.139
1774670588193,2026-03-28T00.03.08.193,2.923,0.404,-0.912,-0.139
1774670588204,2026-03-28T00.03.08.204,2.934,0.407,-0.910,-0.135
1774670588214,2026-03-28T00.03.08.214,2.944,0.409,-0.909,-0.136
1774670588223,2026-03-28T00.03.08.223,2.953,0.418,-0.912,-0.138
1774670588233,2026-03-28T00.03.08.233,2.963,0.421,-0.917,-0.139
1774670588243,2026-03-28T00.03.08.243,2.973,0.416,-0.914,-0.141
1774670588253,2026-03-28T00.03.08.253,2.983,0.408,-0.915,-0.142
1774670588262,2026-03-28T00.03.08.262,2.992,0.410,-0.915,-0.140
1774670588272,2026-03-28T00.03.08.272,3.002,0.417,-0.913,-0.141
1774670588283,2026-03-28T00.03.08.283,3.013,0.417,-0.908,-0.141
1774670588293,2026-03-28T00.03.08.293,3.023,0.414,-0.906,-0.146
1774670588302,2026-03-28T00.03.08.302,3.032,0.413,-0.906,-0.145
1774670588312,2026-03-28T00.03.08.312,3.042,0.412,-0.904,-0.143
1774670588322,2026-03-28T00.03.08.322,3.052,0.416,-0.905,-0.143
1774670588333,2026-03-28T00.03.08.333,3.063,0.417,-0.907,-0.141
1774670588341,2026-03-28T00.03.08.341,3.071,0.415,-0.910,-0.139
1774670588352,2026-03-28T00.03.08.352,3.082,0.417,-0.911,-0.140
1774670588362,2026-03-28T00.03.08.362,3.092,0.417,-0.914,-0.135
1774670588372,2026-03-28T00.03.08.372,3.102,0.411,-0.913,-0.135
1774670588381,2026-03-28T00.03.08.381,3.111,0.409,-0.913,-0.136
1774670588391,2026-03-28T00.03.08.391,3.121,0.413,-0.915,-0.134
1774670588401,2026-03-28T00.03.08.401,3.131,0.414,-0.911,-0.134
1774670588412,2026-03-28T00.03.08.412,3.142,0.411,-0.912,-0.131
1774670588420,2026-03-28T00.03.08.420,3.150,0.410,-0.916,-0.126
1774670588431,2026-03-28T00.03.08.431,3.161,0.410,-0.915,-0.127
1774670588441,2026-03-28T00.03.08.441,3.171,0.412,-0.915,-0.134
1774670588451,2026-03-28T00.03.08.451,3.181,0.414,-0.913,-0.131
1774670588460,2026-03-28T00.03.08.460,3.190,0.415,-0.912,-0.127
1774670588470,2026-03-28T00.03.08.470,3.200,0.416,-0.910,-0.123
1774670588480,2026-03-28T00.03.08.480,3.210,0.418,-0.908,-0.125
1774670588491,2026-03-28T00.03.08.491,3.221,0.418,-0.909,-0.133
1774670588500,2026-03-28T00.03.08.500,3.230,0.414,-0.913,-0.127
1774670588510,2026-03-28T00.03.08.510,3.240,0.406,-0.914,-0.126
1774670588520,2026-03-28T00.03.08.520,3.250,0.407,-0.916,-0.129
1774670588530,2026-03-28T00.03.08.530,3.260,0.405,-0.914,-0.133
1774670588539,2026-03-28T00.03.08.539,3.269,0.410,-0.910,-0.134
1774670588549,2026-03-28T00.03.08.549,3.279,0.417,-0.908,-0.134
1774670588560,2026-03-28T00.03.08.560,3.290,0.418,-0.905,-0.135
1774670588568,2026-03-28T00.03.08.568,3.298,0.417,-0.907,-0.137
1774670588579,2026-03-28T00.03.08.579,3.309,0.408,-0.910,-0.138
1774670588589,2026-03-28T00.03.08.589,3.319,0.401,-0.912,-0.137
1774670588599,2026-03-28T00.03.08.599,3.329,0.401,-0.915,-0.137
1774670588608,2026-03-28T00.03.08.608,3.338,0.412,-0.917,-0.134
1774670588618,2026-03-28T00.03.08.618,3.348,0.416,-0.914,-0.135
1774670588628,2026-03-28T00.03.08.628,3.358,0.415,-0.912,-0.139
1774670588639,2026-03-28T00.03.08.639,3.369,0.413,-0.913,-0.136
1774670588647,2026-03-28T00.03.08.647,3.377,0.410,-0.913,-0.136
1774670588658,2026-03-28T00.03.08.658,3.388,0.414,-0.911,-0.134
1774670588668,2026-03-28T00.03.08.668,3.398,0.414,-0.912,-0.137
1774670588678,2026-03-28T00.03.08.678,3.408,0.421,-0.911,-0.136
1774670588687,2026-03-28T00.03.08.687,3.417,0.419,-0.909,-0.139
1774670588697,2026-03-28T00.03.08.697,3.427,0.414,-0.909,-0.140
1774670588708,2026-03-28T00.03.08.708,3.438,0.414,-0.910,-0.143
1774670588718,2026-03-28T00.03.08.718,3.448,0.412,-0.909,-0.139
1774670588727,2026-03-28T00.03.08.727,3.457,0.415,-0.909,-0.139
1774670588737,2026-03-28T00.03.08.737,3.467,0.421,-0.908,-0.135
1774670588747,2026-03-28T00.03.08.747,3.477,0.415,-0.911,-0.135
1774670588757,2026-03-28T00.03.08.757,3.487,0.411,-0.912,-0.135
1774670588766,2026-03-28T00.03.08.766,3.496,0.414,-0.909,-0.135
1774670588776,2026-03-28T00.03.08.776,3.506,0.412,-0.907,-0.134
