epoc (ms),timestamp (-0400),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1774670585289,2026-03-28T00.03.05.289,0.000,1.220,-0.061,-0.793
1774670585299,2026-03-28T00.03.05.299,0.010,1.280,0.244,-0.244
1774670585309,2026-03-28T00.03.05.309,0.020,1.402,-1.890,-0.915
1774670585318,2026-03-28T00.03.05.318,0.029,1.159,-0.976,-0.915
1774670585328,2026-03-28T00.03.05.328,0.039,0.549,1.037,-1.037
1774670585338,2026-03-28T00.03.05.338,0.049,-0.061,2.195,-0.854
1774670585349,2026-03-28T00.03.05.349,0.060,-0.183,2.439,-0.427
1774670585357,2026-03-28T00.03.05.357,0.068,-0.122,1.890,-0.183
1774670585368,2026-03-28T00.03.05.368,0.079,0.122,0.793,-0.244
1774670585378,2026-03-28T00.03.05.378,0.089,0.427,-0.427,-0.305
1774670585388,2026-03-28T00.03.05.388,0.099,0.610,-1.037,-0.549
1774670585397,2026-03-28T00.03.05.397,0.108,0.427,-0.915,-0.610
1774670585407,2026-03-28T00.03.05.407,0.118,0.122,-0.061,-0.610
1774670585418,2026-03-28T00.03.05.418,0.129,-0.305,0.732,-0.488
1774670585428,2026-03-28T00.03.05.428,0.139,-0.549,0.976,-0.366
1774670585437,2026-03-28T00.03.05.437,0.148,-0.549,0.854,-0.305
1774670585447,2026-03-28T00.03.05.447,0.158,-0.427,0.976,-0.183
1774670585457,2026-03-28T00.03.05.457,0.168,-0.183,1.524,-0.122
1774670585467,2026-03-28T00.03.05.467,0.178,0.061,2.012,-0.122
1774670585476,2026-03-28T00.03.05.476,0.187,0.305,2.195,-0.061
1774670585486,2026-03-28T00.03.05.486,0.197,0.488,1.768,0.061
1774670585497,2026-03-28T00.03.05.497,0.208,0.915,1.159,0.244
1774670585507,2026-03-28T00.03.05.507,0.218,0.976,1.098,0.244
1774670585516,2026-03-28T00.03.05.516,0.227,0.732,2.012,0.305
1774670585526,2026-03-28T00.03.05.526,0.237,0.305,3.293,0.549
1774670585536,2026-03-28T00.03.05.536,0.247,0.122,3.720,0.244
1774670585546,2026-03-28T00.03.05.546,0.257,0.061,3.415,-0.122
1774670585555,2026-03-28T00.03.05.555,0.266,0.061,2.805,-0.427
1774670585565,2026-03-28T00.03.05.565,0.276,0.000,2.744,-0.427
1774670585576,2026-03-28T00.03.05.576,0.287,-0.244,2.866,-0.366
1774670585586,2026-03-28T00.03.05.586,0.297,-0.305,2.439,-0.183
1774670585595,2026-03-28T00.03.05.595,0.306,0.000,1.585,0.061
1774670585605,2026-03-28T00.03.05.605,0.316,0.122,0.915,0.061
1774670585615,2026-03-28T00.03.05.615,0.326,0.000,0.854,0.000
1774670585624,2026-03-28T00.03.05.624,0.335,0.000,1.280,-0.061
1774670585634,2026-03-28T00.03.05.634,0.345,-0.061,2.134,-0.244
1774670585645,2026-03-28T00.03.05.645,0.356,-0.244,2.500,-0.488
1774670585655,2026-03-28T00.03.05.655,0.366,-0.427,2.561,-0.488
1774670585664,2026-03-28T00.03.05.664,0.375,-0.366,2.195,-0.427
1774670585674,2026-03-28T00.03.05.674,0.385,-0.427,1.829,-0.305
1774670585684,2026-03-28T00.03.05.684,0.395,-0.366,1.951,-0.305
1774670585694,2026-03-28T00.03.05.694,0.405,-0.610,2.988,-0.244
1774670585703,2026-03-28T00.03.05.703,0.414,-0.976,4.207,-0.183
1774670585713,2026-03-28T00.03.05.713,0.424,-1.220,4.817,-0.244
1774670585724,2026-03-28T00.03.05.724,0.435,-1.463,5.488,-0.122
1774670585734,2026-03-28T00.03.05.734,0.445,-2.012,6.524,-0.305
1774670585743,2026-03-28T00.03.05.743,0.454,-2.561,7.378,-0.549
1774670585753,2026-03-28T00.03.05.753,0.464,-3.110,6.341,-0.488
1774670585763,2026-03-28T00.03.05.763,0.474,-2.927,3.049,-0.610
1774670585773,2026-03-28T00.03.05.773,0.484,-2.439,-1.098,-0.671
1774670585782,2026-03-28T00.03.05.782,0.493,-2.012,-3.598,-0.671
1774670585793,2026-03-28T00.03.05.793,0.504,-1.707,-2.561,-0.488
1774670585803,2026-03-28T00.03.05.803,0.514,-1.585,0.854,-0.061
1774670585813,2026-03-28T00.03.05.813,0.524,-1.341,4.207,0.488
1774670585822,2026-03-28T00.03.05.822,0.533,-0.854,5.671,0.793
1774670585832,2026-03-28T00.03.05.832,0.543,0.000,4.085,0.366
1774670585842,2026-03-28T00.03.05.842,0.553,0.854,0.854,0.183
1774670585853,2026-03-28T00.03.05.853,0.564,1.402,-1.463,0.061
1774670585861,2026-03-28T00.03.05.861,0.572,1.280,-1.646,-0.427
1774670585872,2026-03-28T00.03.05.872,0.583,0.488,-0.305,-0.427
1774670585882,2026-03-28T00.03.05.882,0.593,-0.305,0.976,-0.427
1774670585892,2026-03-28T00.03.05.892,0.603,-0.793,1.159,-0.427
1774670585901,2026-03-28T00.03.05.901,0.612,-0.854,0.183,-0.183
1774670585911,2026-03-28T00.03.05.911,0.622,-0.671,-0.549,0.061
1774670585921,2026-03-28T00.03.05.921,0.632,-0.427,0.061,0.000
1774670585932,2026-03-28T00.03.05.932,0.643,-0.122,1.341,-0.061
1774670585940,2026-03-28T00.03.05.940,0.651,0.122,2.500,0.000
1774670585951,2026-03-28T00.03.05.951,0.662,0.488,2.744,0.000
1774670585961,2026-03-28T00.03.05.961,0.672,0.610,2.134,0.061
1774670585971,2026-03-28T00.03.05.971,0.682,0.610,1.951,0.000
1774670585980,2026-03-28T00.03.05.980,0.691,0.122,2.927,-0.183
1774670585990,2026-03-28T00.03.05.990,0.701,-0.671,4.878,-0.061
1774670586001,2026-03-28T00.03.06.001,0.712,-1.463,6.646,0.244
1774670586011,2026-03-28T00.03.06.011,0.722,-1.890,7.134,0.488
1774670586020,2026-03-28T00.03.06.020,0.731,-1.890,6.585,0.793
1774670586030,2026-03-28T00.03.06.030,0.741,-2.012,6.524,0.915
1774670586040,2026-03-28T00.03.06.040,0.751,-1.646,6.463,0.854
1774670586050,2026-03-28T00.03.06.050,0.761,-0.793,4.573,0.549
1774670586059,2026-03-28T00.03.06.059,0.770,-0.549,1.768,0.366
1774670586069,2026-03-28T00.03.06.069,0.780,-0.305,-0.244,0.061
1774670586080,2026-03-28T00.03.06.080,0.791,-0.244,-1.159,-0.244
1774670586090,2026-03-28T00.03.06.090,0.801,-0.427,-0.915,-0.244
1774670586099,2026-03-28T00.03.06.099,0.810,-0.488,0.000,-0.183
1774670586109,2026-03-28T00.03.06.109,0.820,-0.793,1.646,0.122
1774670586119,2026-03-28T00.03.06.119,0.830,-1.159,3.841,0.305
1774670586128,2026-03-28T00.03.06.128,0.839,-1.280,5.000,0.061
1774670586138,2026-03-28T00.03.06.138,0.849,-1.220,4.817,-0.183
1774670586148,2026-03-28T00.03.06.148,0.859,-0.915,3.720,-0.366
1774670586159,2026-03-28T00.03.06.159,0.870,-0.610,2.256,-0.366
1774670586168,2026-03-28T00.03.06.168,0.879,-0.244,1.402,-0.183
1774670586178,2026-03-28T00.03.06.178,0.889,0.305,1.402,0.000
1774670586188,2026-03-28T00.03.06.188,0.899,0.671,1.402,0.061
1774670586198,2026-03-28T00.03.06.198,0.909,0.793,1.463,0.122
1774670586207,2026-03-28T00.03.06.207,0.918,0.854,1.646,-0.061
1774670586217,2026-03-28T00.03.06.217,0.928,0.854,1.707,-0.183
1774670586228,2026-03-28T00.03.06.228,0.939,0.793,1.951,0.061
1774670586238,2026-03-28T00.03.06.238,0.949,0.671,2.012,0.244
1774670586247,2026-03-28T00.03.06.247,0.958,0.671,1.524,0.427
1774670586257,2026-03-28T00.03.06.257,0.968,0.793,0.366,0.244
1774670586267,2026-03-28T00.03.06.267,0.978,1.037,-0.915,0.244
1774670586277,2026-03-28T00.03.06.277,0.988,1.341,-1.280,0.366
1774670586286,2026-03-28T00.03.06.286,0.997,1.280,-0.366,0.366
1774670586296,2026-03-28T00.03.06.296,1.007,1.159,1.402,0.488
1774670586307,2026-03-28T00.03.06.307,1.018,0.915,2.561,0.305
1774670586317,2026-03-28T00.03.06.317,1.028,0.671,1.951,0.000
1774670586326,2026-03-28T00.03.06.326,1.037,0.366,0.488,-0.061
1774670586336,2026-03-28T00.03.06.336,1.047,-0.061,-0.183,-0.305
1774670586346,2026-03-28T00.03.06.346,1.057,-0.671,0.610,-0.549
1774670586356,2026-03-28T00.03.06.356,1.067,-0.976,1.768,-0.366
1774670586365,2026-03-28T00.03.06.365,1.076,-0.976,2.256,-0.122
1774670586376,2026-03-28T00.03.06.376,1.087,-0.732,1.951,-0.061
1774670586386,2026-03-28T00.03.06.386,1.097,-0.366,1.159,-0.244
1774670586396,2026-03-28T00.03.06.396,1.107,-0.122,0.793,-0.427
1774670586405,2026-03-28T00.03.06.405,1.116,-0.183,1.098,-0.610
1774670586415,2026-03-28T00.03.06.415,1.126,-0.549,1.707,-0.488
1774670586425,2026-03-28T00.03.06.425,1.136,-1.037,2.134,-0.244
1774670586436,2026-03-28T00.03.06.436,1.147,-1.280,1.524,-0.122
1774670586444,2026-03-28T00.03.06.444,1.155,-1.280,0.671,-0.122
1774670586455,2026-03-28T00.03.06.455,1.166,-1.220,1.159,-0.183
1774670586465,2026-03-28T00.03.06.465,1.176,-1.341,2.256,-0.122
1774670586475,2026-03-28T00.03.06.475,1.186,-0.976,2.500,-0.122
1774670586484,2026-03-28T00.03.06.484,1.195,-0.549,1.829,-0.183
1774670586494,2026-03-28T00.03.06.494,1.205,-0.061,1.159,-0.183
1774670586504,2026-03-28T00.03.06.504,1.215,0.122,1.280,0.122
1774670586515,2026-03-28T00.03.06.515,1.226,-0.183,2.073,0.305
1774670586523,2026-03-28T00.03.06.523,1.234,-0.488,3.171,0.549
1774670586534,2026-03-28T00.03.06.534,1.245,-0.366,3.232,0.549
1774670586544,2026-03-28T00.03.06.544,1.255,-0.488,2.805,0.427
1774670586554,2026-03-28T00.03.06.554,1.265,-0.976,3.110,0.366
1774670586563,2026-03-28T00.03.06.563,1.274,-1.402,3.780,0.061
1774670586573,2026-03-28T00.03.06.573,1.284,-1.524,3.598,-0.122
1774670586584,2026-03-28T00.03.06.584,1.295,-1.463,2.073,-0.183
1774670586594,2026-03-28T00.03.06.594,1.305,-1.159,0.183,-0.183
1774670586603,2026-03-28T00.03.06.603,1.314,-0.793,-0.244,-0.244
1774670586613,2026-03-28T00.03.06.613,1.324,-0.549,0.854,-0.122
1774670586623,2026-03-28T00.03.06.623,1.334,-0.305,2.134,0.061
1774670586632,2026-03-28T00.03.06.632,1.343,-0.305,2.256,0.183
1774670586642,2026-03-28T00.03.06.642,1.353,-0.061,1.463,0.244
1774670586652,2026-03-28T00.03.06.652,1.363,0.183,0.549,0.183
1774670586663,2026-03-28T00.03.06.663,1.374,0.305,-0.061,0.000
1774670586671,2026-03-28T00.03.06.671,1.382,0.244,-0.183,-0.183
1774670586682,2026-03-28T00.03.06.682,1.393,0.122,0.366,-0.122
1774670586692,2026-03-28T00.03.06.692,1.403,-0.366,1.463,-0.061
1774670586702,2026-03-28T00.03.06.702,1.413,-0.793,2.805,0.000
1774670586711,2026-03-28T00.03.06.711,1.422,-1.037,4.268,-0.061
1774670586721,2026-03-28T00.03.06.721,1.432,-1.159,5.244,-0.061
1774670586731,2026-03-28T00.03.06.731,1.442,-1.341,5.732,0.061
1774670586742,2026-03-28T00.03.06.742,1.453,-1.402,6.098,0.000
1774670586751,2026-03-28T00.03.06.751,1.462,-1.341,6.220,-0.244
