time,seconds_elapsed,rotationRateX,rotationRateY,rotationRateZ,gravityX,gravityY,gravityZ,accelerationX,accelerationY,accelerationZ,quaternionW,quaternionX,quaternionY,quaternionZ
1771018130067130600,0.308130615234375,-0.04918258637189865,0.023025622591376305,-0.003184452187269926,0.5885899066925049,0.3087697923183441,-0.7471433877944946,0.004137754440307617,0.006461530923843384,-0.007495284080505371,0.9288241920193319,-0.1290462752490744,0.3313236719900038,-0.10419898370056307
1771018130077161500,0.318161376953125,-0.038994040340185165,0.023301392793655396,-0.009074032306671143,0.5829508304595947,0.3055618405342102,-0.7528614401817322,0.014446020126342773,0.012477129697799683,0.0007099509239196777,0.9303549789051336,-0.12750689796105508,0.32758399610052535,-0.10426100680408862
1771018130087192600,0.328192626953125,-0.023524802178144455,0.019918113946914673,-0.010888710618019104,0.5848149657249451,0.3040798306465149,-0.752015233039856,0.007454931735992432,0.012921541929244995,0.005417943000793457,0.9301755745208893,-0.1267825775010081,0.32850958992403356,-0.10383214868586163
1771018130097224400,0.338224365234375,-0.011732058599591255,0.023892482742667198,-0.013525506481528282,0.5860147476196289,0.30469754338264465,-0.7508302927017212,0.0011892318725585938,0.007497280836105347,0.007528901100158691,0.9298576170574236,-0.12707179120849607,0.3292986584575945,-0.10382702229936873
1771018130107255600,0.348255615234375,0.0072014182806015015,0.016340821981430054,-0.008957918733358383,0.586845338344574,0.3055874705314636,-0.749819278717041,0.00011450052261352539,0.00038179755210876465,0.008547306060791016,0.9295731886078031,-0.1274814201513908,0.3299073439758005,-0.10393955112878561
1771018130117286400,0.358286376953125,0.011075785383582115,0.002815559506416321,-0.005045202560722828,0.5876734852790833,0.30585363507270813,-0.7490617036819458,0.010486304759979248,0.00324365496635437,0.005806088447570801,0.9293673903201277,-0.12758681599602822,0.3304402241361611,-0.10395767726073867
1771018130127317500,0.3683173828125,0.006581967696547508,-0.0029419283382594585,-0.018128247931599617,0.587742805480957,0.3057553768157959,-0.7490474581718445,0.007304191589355469,0.0042879581451416016,-0.0007694363594055176,0.9293587188642367,-0.12751539674918344,0.33047858105438893,-0.10400113744471737
1771018130137348400,0.378348388671875,-0.004578187130391598,-0.007377156522125006,-0.006449221633374691,0.5877309441566467,0.3057815134525299,-0.7490460276603699,-0.0027394890785217285,0.004017680883407593,-0.005180537700653076,0.929350992221317,-0.1275070205282489,0.33048288069655307,-0.10406582682186294
1771018130147379500,0.38837939453125,-0.024820607155561447,-0.009781724773347378,-0.005756000522524118,0.5875266790390015,0.30671435594558716,-0.7488248944282532,0.005765557289123535,-0.009930908679962158,-0.0012971758842468262,0.9292758358941572,-0.1279707585332912,0.3304709276263657,-0.1042059834089184
1771018130157411600,0.39841162109375,-0.039003536105155945,-0.00582440011203289,0.014677634462714195,0.5878151655197144,0.30775144696235657,-0.7481727600097656,-0.0012978315353393555,-0.000027447938919067383,0.000186920166015625,0.9291013610697882,-0.12852474066078592,0.33074918647301743,-0.10419741735594058
1771018130167442700,0.408442626953125,-0.057245925068855286,-0.008908607065677643,0.031155943870544434,0.5880357623100281,0.30874350666999817,-0.7475904226303101,-0.0016557574272155762,0.006976127624511719,0.0000013113021850585938,0.928955623526316,-0.12908880554561208,0.33096957723300946,-0.10410012871065434
1771018130177473500,0.4184736328125,-0.08173662424087524,-0.012759937904775143,0.03377862647175789,0.5881521105766296,0.3094276189804077,-0.7472159266471863,-0.00010889768600463867,0.006017357110977173,0.0024954676628112793,0.9288803727650353,-0.12953693580228523,0.33107735856331255,-0.10387145676955442
1771018130187503400,0.42850341796875,-0.1330442875623703,-0.005239969585090876,0.03228539228439331,0.5883963108062744,0.3098869025707245,-0.7468332648277283,-0.0021842122077941895,0.015064239501953125,0.0021585822105407715,0.9288201689057479,-0.12991359743394354,0.33121871459660673,-0.10348775701123532
1771018130197534200,0.4385341796875,-0.1719256341457367,0.0027263439260423183,0.03425479680299759,0.5884849429130554,0.3108219802379608,-0.7463747262954712,-0.00227278470993042,0.014129191637039185,0.0017001032829284668,0.9287412844347619,-0.1305605739372423,0.33131038430599874,-0.10308759146231555
1771018130207573500,0.448573486328125,-0.21649256348609924,0.01978655345737934,0.05159251019358635,0.5893149971961975,0.31182876229286194,-0.7452991008758545,-0.0031790733337402344,0.00891101360321045,0.004378080368041992,0.9285213534009973,-0.1313008608990879,0.3318290811507206,-0.10245854735930919
1771018130217605400,0.45860546875,-0.22811231017112732,0.039698339998722076,0.042118847370147705,0.5898431539535522,0.3129420876502991,-0.7444140911102295,0.003815293312072754,0.005340993404388428,-0.0017864704132080078,0.9283564740676489,-0.13212524620403818,0.33216842747046277,-0.10179089139554043
1771018130227636200,0.46863623046875,-0.15867996215820312,0.08048997819423676,0.09569099545478821,0.5900101065635681,0.31383824348449707,-0.7439043521881104,0.010362207889556885,0.01547694206237793,-0.0019452571868896484,0.9282800680117486,-0.13280581776370193,0.3322806635867001,-0.10123409803811624
1771018130237667300,0.478667236328125,-0.2653704285621643,0.05442189797759056,0.05290757864713669,0.5908461809158325,0.31393301486968994,-0.7432003617286682,-0.023341357707977295,-0.0031419992446899414,0.006963849067687988,0.9281840625894504,-0.1331363716425181,0.3326777914197831,-0.10037171870733681
1771018130247698400,0.488698486328125,-0.44444459676742554,0.15174925327301025,-0.20824465155601501,0.5911592841148376,0.316339910030365,-0.7419297099113464,-0.020526409149169922,0.003774195909500122,0.008592367172241211,0.9278701514225953,-0.13453031022386228,0.333071679304852,-0.10010846152879606
