time,seconds_elapsed,rotationRateX,rotationRateY,rotationRateZ,gravityX,gravityY,gravityZ,accelerationX,accelerationY,accelerationZ,quaternionW,quaternionX,quaternionY,quaternionZ,pitch,roll,yaw
1771018471765840640,2.002840518951416,-0.1775611490011215,0.0889124944806099,-0.044214442372322,0.7686870098114014,0.585723876953125,0.2569976150989532,0.0048573017120361,-0.0262298583984375,-0.0059142112731933,-0.4328885658054314,-0.1026566969145409,-0.7861045769005812,0.4290788653653339,-0.6257729095280861,1.8934465153360176,-0.7174528535433635
1771018471775871488,2.012871503829956,-0.1766648143529892,0.1052043810486793,-0.0254130586981773,0.7682060599327087,0.5855563282966614,0.2588118314743042,0.0032631754875183,-0.0145418643951416,-0.0083083808422088,-0.4325034783558759,-0.1023381447440377,-0.7867228388055916,0.4284097952254063,-0.6255661839074905,1.8957572055101732,-0.7152232702237724
1771018471785903360,2.0229034423828125,-0.148194283246994,0.1126620322465896,-0.0049096480943262,0.7678350806236267,0.5852493047714233,0.2606002390384674,0.0089287757873535,0.0038009285926818,-0.0105850994586944,-0.4321277068255024,-0.1021570758597726,-0.7873144571158368,0.4277446611782489,-0.6251874843441132,1.8979934308514896,-0.7132545691351406
1771018471795934464,2.0329344272613525,-0.1222535148262977,0.1086422577500343,0.0097111072391271,0.7675715088844299,0.5848401188850403,0.2622896432876587,0.0126255750656127,0.0165086984634399,-0.0167910158634185,-0.4317616636004904,-0.1021248629487436,-0.7878548892825574,0.4271264328329831,-0.6246829102718754,1.9000700613733,-0.7116572928313296
1771018471805966336,2.042966365814209,-0.0812658667564392,0.1025883629918098,0.0289814732968807,0.767442524433136,0.5843595862388611,0.2637347280979156,0.013563334941864,0.0229555368423461,-0.0181750059127807,-0.4314441405084119,-0.1022368689858163,-0.7882987964559324,0.4266012870255814,-0.6240906306604992,1.9018065885693425,-0.7105459121339857
1771018471815997696,2.052997589111328,-0.0489531978964805,0.0924839302897453,0.0436525605618953,0.7674606442451477,0.5838309526443481,0.2648496627807617,0.0100813508033752,0.029602825641632,-0.0238523781299591,-0.4311980789704654,-0.1024853315596212,-0.7886200533233663,0.4261963151856818,-0.6234393920156238,1.903098067729839,-0.7099778591554606
1771018471826028544,2.063028573989868,-0.0312530286610126,0.083084300160408,0.0525975860655307,0.767534077167511,0.5833306908607483,0.2657384872436523,0.005583107471466,0.0358557701110839,-0.0314397513866424,-0.4309911994203697,-0.1027839036963618,-0.7888629223883282,0.4258842618658315,-0.6228233321931004,1.9041030110046664,-0.7097199771557111
1771018471836060416,2.0730605125427246,-0.0220330767333507,0.0683556869626045,0.0532378107309341,0.7676712870597839,0.5828155279159546,0.2664710283279419,0.0017836689949035,0.0416198968887329,-0.0380774736404418,-0.4308269388516518,-0.1031231665748739,-0.7890507797165984,0.4256202683504248,-0.6221892287365933,1.904899638977842,-0.7096643741679871
1771018471846091520,2.0830914974212646,-0.0278377011418342,0.0503681637346744,0.044721819460392,0.7678323984146118,0.5823285579681396,0.2670709490776062,-0.0011240243911743,0.0403368473052978,-0.0399744510650634,-0.4307260705895671,-0.1034052666057642,-0.7892039220194029,0.4253699370150678,-0.6215900794575984,1.9055317967314471,-0.7095798973538398
1771018471856123392,2.093123435974121,-0.0567241236567497,0.0249034166336059,0.0285907872021198,0.767969012260437,0.5819129347801208,0.2675838768482208,0.0002195835113525,0.0377312898635864,-0.035863846540451,-0.4306895640058488,-0.1035531034341653,-0.7893470055967965,0.425105442653826,-0.6210789231666213,1.90607230743144,-0.7092723185117535
