time,seconds_elapsed,rotationRateX,rotationRateY,rotationRateZ,gravityX,gravityY,gravityZ,accelerationX,accelerationY,accelerationZ,quaternionW,quaternionX,quaternionY,quaternionZ
1771018131762405400,2.0034052734375,-0.0354875437915325,0.0379764772951602,-0.0300357732921838,0.8173109292984009,0.4049187898635864,-0.4099313616752624,-0.0004927515983581,0.0010260343551635,0.0050851702690124,0.8396014584860634,-0.2376870044992036,0.488404761361956,-0.0059316500929303
1771018131772436500,2.0134365234375,-0.0331594087183475,0.0368574187159538,-0.0370569303631782,0.8173412084579468,0.405227392911911,-0.4095660150051117,-0.000355064868927,0.0044100880622863,0.0061999559402465,0.8394921631272836,-0.2378579833567333,0.4885085125239032,-0.0060055889809049
1771018131782468400,2.02346826171875,-0.0376704484224319,0.0274705700576305,-0.034351959824562,0.8173583149909973,0.4055528342723846,-0.4092091619968414,0.0024811029434204,0.0028333365917205,0.0008992850780487,0.8393852628821322,-0.2380435767710701,0.4886007367614952,-0.0060707032483099
1771018131792499200,2.033499267578125,-0.0266686640679836,0.0242372266948223,-0.0274224132299423,0.8173789978027344,0.4058361947536468,-0.4088868200778961,0.0059546828269958,0.0001848638057708,-0.0006743371486663,0.83928887694603,-0.2382076882820634,0.4886856697780086,-0.0061246563228402
1771018131802530300,2.0435302734375,0.0004738299176096,0.0179705452173948,-0.0184888392686843,0.8173820376396179,0.4060236513614654,-0.4086946547031402,0.0060126781463623,-0.0037409663200378,-0.0031400024890899,0.8392310360198327,-0.2382861071238557,0.4887457428959924,-0.0062092219563022
1771018131812561200,2.05356103515625,0.0130428848788142,-0.000257461797446,-0.0136887580156326,0.8173423409461975,0.4061154127120971,-0.4086829721927643,0.0091804265975952,-0.0029019117355346,-0.0067680776119232,0.8392268881079976,-0.2382867117274781,0.4887514320394018,-0.0063039958555186
1771018131822592300,2.06359228515625,0.0057130670174956,-0.0166155286133289,-0.0115409195423126,0.8172718286514282,0.4061800539493561,-0.4087596833705902,0.011463463306427,0.0014584362506866,-0.0082019865512847,0.8392491993212401,-0.2382809368343707,0.488715006868379,-0.0063696489485192
1771018131832623400,2.073623291015625,-0.0026761568151414,-0.0169465616345405,-0.0137627944350242,0.8171617388725281,0.4062798619270324,-0.4088806807994842,0.0085371136665344,-0.002135545015335,-0.0084319710731506,0.8392849588873446,-0.2383055056307026,0.4886411283798798,-0.0064130942113816
1771018131842655500,2.083655517578125,-0.0108081195503473,-0.0179653521627187,-0.0101270470768213,0.8170658946037292,0.406404972076416,-0.408948004245758,0.0061457753181457,-0.0069908797740936,-0.0060605406761169,0.8393050000882525,-0.2383709291674626,0.4885747625151184,-0.0064198381293232
1771018131852686300,2.093686279296875,-0.0213007070124149,-0.0176947750151157,-0.0191381182521581,0.8169385194778442,0.4066183567047119,-0.4089903831481933,0.0017260313034057,-0.0058920085430145,-0.0017151832580566,0.8393175652935388,-0.2384903210006071,0.4884948061396998,-0.00642802741461
1771018131862717400,2.103717529296875,-0.0309672709554433,-0.0082428166642785,-0.0220604054629802,0.8168150782585144,0.4068871736526489,-0.4089692831039428,-0.0018279552459716,-0.0001794695854187,0.0069307386875152,0.8393111560438161,-0.2386507403298033,0.4884272525507603,-0.0064315832544516
1771018131872748300,2.113748291015625,-0.0354528352618217,0.0021325922571122,-0.0230127517133951,0.8167398571968079,0.4071837067604065,-0.4088242948055267,-0.0034006834030151,0.0009430944919586,0.012477308511734,0.8392679519537569,-0.2388421705088409,0.4884078902463594,-0.0064275538961334
1771018131882779400,2.123779296875,-0.0425186455249786,0.017379056662321,-0.0202284175902605,0.8167221546173096,0.4074558913707733,-0.4085884094238281,-0.0060685276985168,-0.0011601746082305,0.013309508562088,0.8391978352446527,-0.2390350467192175,0.4884342743641965,-0.0064087485426806
1771018131892811300,2.133811279296875,-0.0448347926139831,0.021672073751688,-0.0196374617516994,0.8167410492897034,0.4077055156230926,-0.4083015918731689,-0.0025779008865356,-0.0016691386699676,0.0116036832332611,0.8391126440221263,-0.2392237575908157,0.4884886841529645,-0.0063810549431252
1771018131902842400,2.14384228515625,-0.0299905128777027,0.0200479421764612,-0.0156315341591835,0.8167484998703003,0.4079691469669342,-0.4080231785774231,0.0005579590797424,0.0007374882698059,0.0072969198226928,0.8390296666155781,-0.2394035073179114,0.4885431057679749,-0.0063821088440249
